@relation full_data

@attribute price numeric
@attribute retail_price numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute rating_five_count numeric
@attribute rating_four_count numeric
@attribute rating_three_count numeric
@attribute rating_two_count numeric
@attribute rating_one_count numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute size_encoded numeric
@attribute price_converted numeric
@attribute color_encoded numeric
@attribute units_sold_categories {Slow,Hot,Stable}

@data
5.67,5,0,3.63,7242,2867,1406,1330,695,944,0,0,0,0,50,1,0,40,50,839882,4.10376,0,8,6.237,60,Hot
6,7,1,4.31,13,8,3,1,0,1,0,0,0,0,4,2,0,41,50,25222,4.001546,0,1,6.6,4,Slow
12,102,1,4.11,75,39,19,8,4,5,0,0,0,0,50,3,0,40,50,7740,4.227261,1,2,13.2,11,Slow
11,59,1,3.61,28,12,5,4,2,5,0,0,0,0,50,3,0,40,50,14291,4.184732,0,3,12.1,4,Slow
12,17,0,4.17,18,9,5,3,0,1,0,0,0,0,50,3,0,37,50,71919,4.385295,0,8,13.2,60,Slow
11,10,1,3.58,483,199,83,79,44,78,0,0,0,0,19,3,0,38,50,6364,4.132464,0,8,12.1,39,Stable
8,7,0,3.76,843,392,144,134,62,111,1,1,0,0,50,3,0,37,50,25752,4.256873,0,4,8.8,4,Stable
5,24,0,3.7,10,4,2,2,1,1,0,0,0,0,4,1,0,42,50,35262,3.939482,0,1,5.5,24,Slow
4,4,1,4.5,2,1,1,0,0,0,0,0,0,0,1,1,0,20,50,2707,4.189139,0,1,4.4,46,Slow
11,43,0,3.28,2521,723,505,513,315,465,0,0,0,0,50,3,0,35,50,15502,4.115275,0,3,12.1,4,Hot
12,11,0,4.24,17,9,6,0,1,1,0,0,0,0,50,3,0,36,50,2647,3.839819,0,8,13.2,47,Slow
11,17,0,3.26,692,217,125,128,68,154,0,0,0,0,50,3,0,37,50,4830,3.843064,0,1,12.1,53,Stable
7,7,0,3.85,1193,550,257,171,86,129,0,0,0,0,50,2,0,31,50,17816,4.179445,1,1,7.7,5,Hot
8,11,0,3.87,91,40,24,13,3,11,0,0,0,0,43,3,0,25,50,11557,4.040062,0,8,8.8,53,Slow
1.88,25,1,4.46,26,19,4,1,0,2,1,0,1,0,41,1,0,43,50,1373,4.007283,0,1,2.068,60,Slow
11,10,0,4.32,269,169,53,25,8,14,1,0,1,0,50,2,0,54,50,4811,4.194554,0,4,12.1,4,Stable
9,135,0,3.55,33,10,10,5,4,4,0,0,0,0,50,3,0,39,50,9940,4.048994,0,2,9.9,60,Slow
3.88,5,0,3.66,585,246,105,107,43,84,0,0,0,0,50,1,0,41,50,35358,4.018157,1,2,4.268,53,Hot
2,2,0,4.8,5,4,1,0,0,0,0,0,0,0,2,1,0,35,50,42,3.666667,0,8,2.2,60,Slow
12,13,0,4.25,215,136,32,23,13,11,0,0,0,0,50,3,0,40,50,15076,4.084969,0,2,13.2,46,Stable
1.66,2,1,3.75,20,8,5,4,0,3,0,0,0,0,2,1,0,26,50,247,3.94332,0,1,1.826,52,Slow
7,6,0,3.27,601,208,94,91,66,142,0,0,0,0,10,2,0,9,50,16757,3.965388,0,2,7.7,60,Stable
9,8,1,4.03,248,127,59,26,15,21,0,0,0,0,2,3,0,45,50,1722,3.906504,0,1,9.9,11,Stable
8,7,1,3.69,294,128,57,44,20,45,0,0,0,0,50,2,0,36,50,821,3.766139,0,2,8.8,60,Stable
14,107,1,4.38,425,299,54,31,17,24,1,0,1,0,50,4,0,10,50,27175,3.966035,0,3,15.4,60,Stable
8,13,0,4.39,574,370,115,50,21,18,1,0,1,0,50,3,0,52,50,5042,4.146569,0,3,8.8,25,Stable
11,43,1,3.98,397,219,63,46,25,44,0,0,0,0,50,2,0,43,50,29615,3.928009,0,2,12.1,17,Hot
19,17,1,4.33,61,39,12,5,1,4,0,0,0,0,50,6,0,38,50,487,4.234086,0,8,20.9,3,Slow
8,8,1,3.61,2187,843,484,350,182,328,0,0,0,0,20,2,0,38,50,70773,4.03832,0,8,8.8,39,Hot
11,10,1,3.69,113,55,16,14,8,20,0,0,0,0,10,3,0,20,50,1403,3.895937,0,1,12.1,46,Stable
12,93,1,4.1,534,280,128,63,28,35,0,0,0,0,50,3,0,40,50,15540,4.241313,0,2,13.2,4,Stable
8,7,1,3.37,19,9,2,1,1,6,0,0,0,0,50,3,0,41,50,36033,3.965337,1,2,8.8,11,Slow
8,59,1,4.05,114,55,30,16,6,7,0,0,0,0,40,3,0,18,50,231,3.766234,0,8,8.8,69,Slow
5,9,0,4.08,13,5,5,2,1,0,0,0,0,0,20,2,0,43,50,26018,3.891421,0,1,5.5,4,Slow
5,48,1,4.07,30,15,5,8,1,1,0,0,0,0,50,2,0,45,50,43876,4.089776,0,1,5.5,24,Slow
13,34,0,3.74,54,23,14,5,4,8,0,0,0,0,50,3,0,41,50,4080,3.98799,0,1,14.3,69,Slow
2,7,0,3.91,239,118,42,38,22,19,0,0,0,0,50,1,0,40,50,591,4.099831,0,8,2.2,58,Stable
8,48,1,4.01,79,47,11,7,3,11,0,0,0,0,1,3,0,17,50,131,3.854962,0,8,8.8,3,Slow
5.86,5,1,4.55,76,57,9,7,1,2,0,0,0,0,1,2,0,23,50,96,4.364583,0,8,6.446,4,Slow
7,34,0,3.81,192,104,20,29,6,33,0,0,0,0,6,2,0,43,50,15348,4.013813,0,1,7.7,4,Stable
8,252,1,3.88,161,79,23,34,10,15,0,0,0,0,14,3,0,41,50,14780,3.950812,0,1,8.8,4,Stable
12,11,0,3.7,647,271,139,101,44,92,0,0,0,0,50,3,0,24,50,17471,3.952836,0,2,13.2,10,Stable
2,4,1,3.1,30,8,7,3,4,8,0,0,0,0,1,1,0,40,50,71,3.422535,0,8,2.2,46,Slow
11,83,0,3.63,118,48,17,27,13,13,0,0,0,0,50,3,0,42,50,626,3.702875,0,3,12.1,4,Stable
8,7,1,4.14,2604,1428,555,340,122,159,0,0,0,0,50,2,0,42,50,13399,4.077095,0,2,8.8,4,Hot
16,50,0,3.93,46,22,12,4,3,5,0,0,0,0,18,5,0,32,50,19632,4.310666,0,1,17.6,4,Slow
9,8,1,4.41,1153,735,250,107,23,38,1,0,1,0,20,3,0,36,50,55499,4.138885,0,3,9.9,35,Stable
11,38,0,4.11,377,236,46,33,23,39,0,0,0,0,2,2,0,28,50,602,4.171096,0,1,12.1,69,Stable
8,7,1,3.71,346,148,68,53,34,43,0,0,0,0,50,3,0,50,50,3053,3.8585,0,2,8.8,46,Stable
8,50,1,4.26,1057,625,213,134,44,41,1,0,1,0,50,3,0,27,50,7631,3.863845,0,2,8.8,46,Stable
11,85,1,4,7,4,0,2,1,0,0,0,0,0,8,3,0,36,50,21,3.714286,0,1,12.1,60,Slow
17,75,0,4.18,479,280,94,56,11,38,0,0,0,0,50,5,0,60,50,4778,4.180829,1,2,18.7,4,Stable
2.8,3,1,3.4,78,26,14,19,3,16,0,0,0,0,8,1,0,20,50,1281,4.018735,0,1,3.08,69,Stable
8,7,1,3.43,7,3,0,2,1,1,0,0,0,0,50,3,0,15,50,249,3.97992,0,2,8.8,25,Slow
5.89,5,1,4.15,48,30,7,4,2,5,0,0,0,0,2,1,0,30,50,150,3.993333,0,1,6.479,4,Slow
8,7,0,3.4,94,34,14,18,12,16,0,0,0,0,50,3,0,37,50,5281,4.023291,1,2,8.8,25,Stable
1,1,1,3.17,6,2,1,1,0,2,0,0,0,0,50,1,0,16,50,30,4.166667,0,8,1.1,53,Slow
16,14,0,3.87,770,381,134,110,66,79,0,0,0,0,50,4,0,41,50,39381,4.066326,0,2,17.6,11,Hot
1.66,2,1,4.21,33,21,6,2,0,4,1,0,1,0,50,1,0,34,50,15221,4.393207,0,8,1.826,58,Stable
2.71,3,1,4.33,12,8,2,1,0,1,0,0,0,0,2,1,0,37,50,576,4.114583,0,8,2.981,60,Slow
16,34,1,4.28,1612,976,328,162,70,76,1,0,1,0,9,5,0,39,50,228676,4.230903,1,3,17.6,4,Stable
5,5,0,3.85,279,133,59,32,23,32,0,0,0,0,1,2,0,29,50,11078,4.04378,0,8,5.5,11,Stable
11,26,1,4.04,1571,867,275,190,99,140,0,0,0,0,50,3,0,46,50,47476,4.465351,0,3,12.1,60,Stable
6,6,1,3.68,895,356,198,157,70,114,0,0,0,0,5,2,0,39,50,25260,3.995606,0,8,6.6,4,Stable
4.88,25,0,4,16,8,1,6,1,0,0,0,0,0,4,1,0,41,50,130598,3.946791,0,1,5.368,60,Stable
16,14,0,4.27,2859,1736,573,281,111,158,1,0,1,0,50,5,0,10,50,18910,4.387414,1,3,17.6,4,Hot
11,75,1,3.43,70,28,12,8,6,16,0,0,0,0,50,3,0,25,50,104,3.682692,0,8,12.1,52,Stable
5,25,0,3.64,44,15,11,11,1,6,0,0,0,0,50,2,0,43,50,13979,3.870735,1,8,5.5,11,Stable
6,10,0,4.06,1496,794,291,215,92,104,0,0,0,0,50,2,0,25,50,2359,4.188215,0,2,6.6,4,Hot
6,6,1,3.15,170,57,20,34,9,50,0,0,0,0,50,2,0,62,50,2510,4.19761,0,8,6.6,60,Stable
14,139,1,4.26,2107,1334,348,206,86,133,1,0,1,0,50,4,0,44,50,20387,4.193457,0,2,15.4,11,Hot
9,17,1,4.18,34,22,4,3,2,3,0,0,0,0,19,3,0,27,50,1928,4.130187,0,1,9.9,52,Slow
5,5,1,4.1,478,281,77,51,23,46,0,0,0,0,1,2,0,35,50,14095,4.089677,0,2,5.5,52,Stable
7,6,1,4.22,2019,1182,393,257,90,97,1,0,1,0,50,2,0,36,50,8501,4.164804,0,2,7.7,30,Hot
9,11,0,4.4,15,9,4,1,1,0,0,0,0,0,50,3,0,43,50,29615,3.928009,0,2,9.9,52,Slow
15,13,1,3.5,497,184,93,92,44,84,0,0,0,0,50,4,0,41,50,3533,4.228701,0,1,16.5,4,Stable
7,6,0,3.75,68,28,16,11,5,8,0,0,0,0,41,2,0,135,50,331,3.930514,0,1,7.7,4,Stable
13,11,0,3.97,289,148,59,38,13,31,0,0,0,0,50,3,0,54,50,7034,4.060279,0,4,14.3,60,Stable
7,17,1,3.89,27,11,7,5,3,1,0,0,0,0,50,2,0,35,50,88,4,0,8,7.7,53,Slow
4,4,0,4.19,999,587,180,123,54,55,1,0,1,0,50,1,0,41,50,225438,4.30112,0,2,4.4,25,Stable
14,84,0,3.27,130,40,24,26,11,29,0,0,0,0,50,4,0,40,50,11900,4.150756,1,2,15.4,2,Stable
8,31,1,4.12,155,84,31,22,11,7,0,0,0,0,50,2,0,43,50,28295,3.809966,0,2,8.8,60,Stable
4,26,1,4.3,825,530,136,82,34,43,1,0,1,0,50,1,0,48,50,12666,4.39831,0,8,4.4,69,Stable
11,10,0,4.16,1780,975,406,210,94,95,1,1,0,0,5,2,0,72,50,19436,4.109024,0,2,12.1,4,Hot
5.85,43,1,3.67,45,21,8,4,4,8,0,0,0,0,50,1,0,45,50,1972,4.340771,1,8,6.435,37,Slow
5.69,10,0,3.74,76,30,17,15,7,7,0,0,0,0,3,2,0,20,50,161,4.074534,0,1,6.259,69,Stable
5.71,84,0,3.9,4657,2011,1127,849,360,310,0,0,0,0,50,2,0,47,50,127966,4.197459,0,5,6.281,11,Hot
9,84,0,4.3,420,255,83,52,15,15,0,0,0,0,50,3,0,43,50,8404,4.246192,0,3,9.9,4,Stable
12,11,0,3.6,518,216,90,86,43,83,0,0,0,0,50,3,0,43,50,13127,4.123943,0,1,13.2,46,Stable
5,5,0,4.19,7773,4220,1795,1098,351,309,1,0,1,0,9,1,0,38,50,10269,4.260006,0,3,5.5,4,Hot
9,8,0,4.5,8,6,0,2,0,0,0,0,0,0,50,3,0,46,50,5988,3.945224,1,2,9.9,2,Slow
9,13,1,3.75,1017,431,207,185,78,116,0,0,0,0,50,3,0,36,50,2359,4.058499,0,8,9.9,4,Stable
7,13,1,3.74,54,25,8,10,4,7,0,0,0,0,50,2,0,41,50,36913,3.949422,1,2,7.7,46,Stable
7,6,0,3.36,11,4,2,2,0,3,0,0,0,0,50,2,0,21,50,8989,3.85193,1,8,7.7,11,Slow
15,13,0,3.88,854,431,156,106,59,102,0,0,0,0,50,4,0,40,50,11354,3.893694,0,2,16.5,11,Stable
8,7,1,4.5,2,1,1,0,0,0,0,0,0,0,50,2,0,33,50,173992,4.326463,1,8,8.8,17,Slow
16,108,1,4.25,1524,905,313,169,63,74,1,0,1,0,50,4,0,40,50,90105,4.201298,1,4,17.6,53,Hot
8,42,0,4.47,1038,720,176,75,41,26,1,0,1,0,50,3,0,48,50,5781,4.274866,0,3,8.8,4,Stable
9,8,1,4.08,1052,572,221,123,46,90,0,0,0,0,50,3,0,33,50,16013,4.108849,0,2,9.9,4,Stable
9,8,0,4.08,1336,725,274,160,73,104,0,0,0,0,3,3,0,36,50,12933,4.044769,0,8,9.9,11,Stable
3.65,4,1,3.93,4215,2184,717,605,271,438,0,0,0,0,50,1,0,81,50,4570,4.196499,0,8,4.015,3,Hot
11,76,0,4.23,474,270,106,57,21,20,0,0,0,0,50,2,0,43,50,33855,3.917353,0,3,12.1,4,Stable
