@relation categorized_units_sold_final

@attribute price numeric
@attribute retail_price numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute size_encoded numeric
@attribute price_converted numeric
@attribute color_encoded numeric
@attribute rating_five_proportion numeric
@attribute rating_four_proportion numeric
@attribute rating_three_proportion numeric
@attribute rating_two_proportion numeric
@attribute rating_one_proportion numeric
@attribute units_sold_categories {Slow,Hot,Stable}

@data
14,12,1,4.06,0,0,0,0,2,3,0,43,50,80093,4.006692,0,8,15.4,39,0.567652,0.169518,0.11353,0.051322,0.097978,Stable
5.8,8,1,3.83,0,0,0,0,1,1,0,43,50,16741,3.920853,0,1,6.38,2,0.5,0.166667,0.166667,0,0.166667,Slow
13,13,0,4.16,1,0,1,0,50,3,0,41,50,12913,3.981337,1,2,14.3,46,0.594203,0.195652,0.072464,0.050725,0.086957,Stable
9,81,0,4.26,1,0,1,0,50,3,0,40,50,59198,4.105054,0,4,9.9,4,0.580519,0.218698,0.121291,0.038067,0.041426,Hot
7,68,0,1.5,0,0,0,0,50,2,0,43,50,397,3.858942,0,2,7.7,60,0,0,0,0.5,0.5,Slow
12,14,1,3.79,0,0,0,0,50,3,0,22,50,196,4.020408,0,2,13.2,4,0.458333,0.25,0.083333,0.041667,0.166667,Slow
3.69,40,0,3.53,0,0,0,0,2,1,0,24,50,10917,4.364844,0,1,4.059,25,0.372881,0.186441,0.20339,0.067797,0.169492,Slow
5,5,1,3.82,1,1,0,0,50,1,0,63,50,27055,4.151395,0,8,5.5,60,0.457294,0.189214,0.17394,0.075125,0.104426,Hot
5.84,56,0,3.28,0,0,0,0,50,1,0,43,50,40943,4.017488,0,2,6.424,2,0.305556,0.111111,0.305556,0.111111,0.166667,Slow
16,14,0,3,0,0,0,0,2,4,0,34,50,31,3.548387,0,8,17.6,24,0,0.666667,0,0,0.333333,Slow
13,50,0,4.03,0,0,0,0,50,3,0,32,50,9136,4.085705,1,2,14.3,54,0.527485,0.192982,0.140351,0.059649,0.079532,Stable
9,8,0,3.18,0,0,0,0,50,3,0,24,50,10474,3.908535,0,2,9.9,60,0.300056,0.162086,0.192933,0.106001,0.238923,Hot
7,6,0,3.8,0,0,0,0,50,2,0,45,50,139607,4.216386,0,2,7.7,4,0.459016,0.180328,0.196721,0.032787,0.131148,Slow
11,20,0,3.43,0,0,0,0,50,2,0,34,50,3120,4.174679,0,2,12.1,60,0.357143,0.214286,0.142857,0.071429,0.214286,Slow
5.84,11,0,4.19,0,0,0,0,1,1,0,40,50,10377,4.172786,0,8,6.424,11,0.557003,0.23127,0.114007,0.039088,0.058632,Stable
1,11,1,3.8,0,0,0,0,37,1,0,41,50,8197,3.858119,0,8,1.1,11,0.6,0,0.2,0,0.2,Stable
11,60,1,3.38,0,0,0,0,49,2,0,25,50,703,3.960171,0,2,12.1,60,0.405405,0.081081,0.243243,0.027027,0.243243,Stable
9,8,1,4.03,0,0,0,0,50,3,0,33,50,16013,4.108849,0,4,9.9,12,0.521935,0.200225,0.141732,0.058493,0.077615,Stable
6,56,1,3.5,0,0,0,0,1,2,0,28,50,13309,3.8767,0,8,6.6,53,0.372068,0.182303,0.184435,0.093817,0.167377,Stable
1,10,0,3.56,0,0,0,0,2,1,0,40,50,91631,3.837937,1,8,1.1,60,0.423077,0.153846,0.173077,0.057692,0.192308,Slow
9,8,0,4.06,0,0,0,0,50,3,0,41,50,20681,3.999371,1,2,9.9,43,0.538358,0.191117,0.138627,0.060565,0.071332,Stable
6,6,0,4,0,0,0,0,5,2,0,23,50,127,3.874016,0,1,6.6,62,0.625,0,0.125,0.25,0,Slow
11,68,0,4.13,0,0,0,0,50,2,0,40,50,11597,4.215228,0,3,12.1,53,0.56872,0.175355,0.146919,0.037915,0.07109,Stable
7,6,0,4,0,0,0,0,50,2,0,139,50,34,4.352941,0,1,7.7,11,0.75,0,0,0,0.25,Slow
