@relation OMG

@attribute price numeric
@attribute retail_price numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute size_encoded numeric
@attribute price_converted numeric
@attribute color_encoded numeric
@attribute units_sold_categories {Slow,Hot,Stable}

@data
5.83,5,1,4.22,0,0,0,0,1,1,0,35,50,4.146957,1,2,6.413,64,Hot
8,7,0,3.42,0,0,0,0,50,2,0,63,50,3.965204,0,2,8.8,46,Stable
5.77,5,1,4,0,0,0,0,45,1,0,31,50,3.91574,0,2,6.347,2,Slow
5.9,5,0,3.64,0,0,0,0,4,1,0,30,50,3.951817,0,8,6.49,25,Hot
6,20,0,3.08,0,0,0,0,50,2,0,43,50,3.931196,0,2,6.6,53,Slow
7,6,1,4.41,1,0,1,0,2,2,0,35,50,4.146957,1,3,7.7,24,Hot
8,7,1,3.7,0,0,0,0,1,2,0,48,50,3.93753,0,3,8.8,46,Hot
12,11,0,3.81,0,0,0,0,50,3,0,13,50,4.150356,0,2,13.2,6,Stable
5.78,8,1,4,0,0,0,0,50,1,0,29,50,4.184134,0,1,6.358,46,Hot
12,17,0,3.94,0,0,0,0,50,3,0,43,50,3.978261,0,2,13.2,60,Stable
11,10,1,4.07,0,0,0,0,50,2,0,35,50,3.965701,0,4,12.1,37,Hot
8,51,0,4.29,1,0,1,0,50,2,0,43,50,3.832535,0,2,8.8,46,Slow
5.77,48,0,4.1,0,0,0,0,50,2,0,46,50,4.067348,1,1,6.347,4,Hot
9,8,0,3.7,0,0,0,0,44,3,0,20,50,4.064643,0,3,9.9,25,Hot
1.72,2,1,3.77,0,0,0,0,10,1,0,48,50,3.884544,0,1,1.892,21,Slow
1.86,9,1,3.57,0,0,0,0,2,1,0,40,50,3.943019,0,1,2.046,46,Slow
14,92,1,4.54,0,0,0,0,50,3,0,36,50,4.185185,0,1,15.4,4,Slow
3.69,4,0,3.64,0,0,0,0,5,1,0,24,50,4.039128,0,1,4.059,53,Stable
11,30,1,4.11,2,1,0,1,2,3,0,45,50,4.21046,0,8,12.1,44,Slow
9,8,1,3.18,0,0,0,0,10,3,0,26,50,3.729167,0,8,9.9,53,Slow
6,8,0,3.96,0,0,0,0,50,2,0,43,50,3.801684,1,4,6.6,4,Hot
20,17,1,2.8,0,0,0,0,50,6,0,36,50,3.298507,0,8,22,24,Slow
5.66,5,0,3.89,0,0,0,0,50,2,0,42,50,4.285598,0,2,6.226,4,Stable
8,65,0,3.97,0,0,0,0,1,2,0,33,50,3.882845,0,2,8.8,60,Slow
8,7,1,3.61,0,0,0,0,10,2,0,39,50,4.098557,0,8,8.8,35,Stable
6,6,1,3.82,0,0,0,0,1,2,0,35,50,3.844776,0,2,6.6,25,Stable
11,10,0,3.96,0,0,0,0,50,3,0,23,50,4.252711,0,2,12.1,4,Stable
7,6,1,4.2,0,0,0,0,3,2,0,26,50,3.94332,0,1,7.7,60,Stable
11,10,0,3.77,0,0,0,0,50,3,0,31,50,4.000143,0,1,12.1,53,Hot
5.81,30,0,2.61,0,0,0,0,3,2,0,41,50,3.894761,0,1,6.391,24,Slow
14,12,0,3.93,0,0,0,0,36,4,0,26,50,3.885538,0,8,15.4,11,Hot
5,51,0,5,0,0,0,0,1,1,0,36,50,3.989831,0,1,5.5,4,Slow
5,5,1,4.3,0,0,0,0,3,2,0,22,50,4.167979,0,8,5.5,15,Slow
11,10,0,4.12,0,0,0,0,50,2,0,21,50,3.85193,1,2,12.1,37,Stable
12,67,0,3.67,0,0,0,0,20,3,0,32,50,4.008403,0,1,13.2,46,Slow
5.68,5,0,4.5,0,0,0,0,50,2,0,109,50,4.5125,1,8,6.248,52,Slow
11,10,1,4,0,0,0,0,50,2,0,32,50,4.014652,0,2,12.1,4,Slow
17,15,0,4.16,1,0,1,0,50,5,0,52,50,4.352612,1,2,18.7,24,Hot
7,43,0,3.71,0,0,0,0,9,2,0,40,50,3.878167,0,2,7.7,52,Slow
12,85,1,4.75,0,0,0,0,18,3,0,35,50,4.175439,0,2,13.2,24,Slow
7,6,0,5,0,0,0,0,50,2,0,41,50,3.970731,0,2,7.7,4,Slow
7,33,0,3,0,0,0,0,50,2,0,41,50,4.001546,0,2,7.7,11,Slow
11,59,0,4.11,0,0,0,0,50,2,0,41,50,4.057185,1,3,12.1,69,Stable
12,43,0,3.59,0,0,0,0,50,3,0,42,50,3.948409,0,3,13.2,32,Slow
13,51,0,3.61,0,0,0,0,50,3,0,43,50,3.946416,0,2,14.3,69,Stable
2.72,9,0,5,0,0,0,0,1,1,0,33,50,3.597884,0,1,2.992,43,Slow
6,6,1,3.99,0,0,0,0,50,2,0,33,50,4.108849,0,4,6.6,24,Hot
9,56,1,4.03,0,0,0,0,3,3,0,19,50,3.714286,0,8,9.9,47,Slow
5,5,0,5,0,0,0,0,5,2,0,47,50,3.75,0,1,5.5,69,Slow
5.86,5,0,3.73,0,0,0,0,6,1,0,30,50,3.993017,0,1,6.446,60,Stable
2,2,1,3.99,0,0,0,0,1,1,0,23,50,4.04517,1,2,2.2,24,Hot
7,6,0,4.38,1,0,1,0,8,2,0,41,50,3.946791,0,1,7.7,25,Stable
5.66,6,0,3.08,0,0,0,0,50,2,0,35,50,4.069015,0,2,6.226,4,Slow
13,17,0,4.11,0,0,0,0,6,3,0,43,50,3.910742,0,1,14.3,46,Stable
8,7,1,3.6,0,0,0,0,27,3,0,28,50,4.080891,1,4,8.8,69,Stable
11,10,1,3.78,0,0,0,0,5,3,0,35,50,3.896074,0,8,12.1,25,Stable
8,7,0,4.05,0,0,0,0,50,2,0,31,50,4.168097,0,2,8.8,4,Hot
16,76,1,3.53,0,0,0,0,50,5,0,58,50,4.272059,1,2,17.6,53,Slow
11,10,0,4.6,0,0,0,0,12,3,0,42,50,4.122997,1,8,12.1,25,Slow
8,7,0,4.16,1,0,1,0,50,2,0,32,50,4.283611,0,2,8.8,4,Hot
14,12,1,4.04,0,0,0,0,50,4,0,41,50,3.894761,0,3,15.4,29,Stable
7,6,0,3.6,0,0,0,0,50,2,0,127,50,4.15528,0,2,7.7,4,Slow
12,11,1,3.89,0,0,0,0,25,3,0,50,50,4.153665,1,4,13.2,46,Hot
7,50,0,3.49,0,0,0,0,50,2,0,132,50,4.011628,0,2,7.7,1,Stable
2,56,1,3.07,0,0,0,0,2,1,0,26,50,3.696054,0,2,2.2,29,Slow
6,16,1,3.11,0,0,0,0,25,2,0,18,50,3.874033,0,2,6.6,60,Slow
8,7,1,4.07,0,0,0,0,50,3,0,38,50,4.125683,0,2,8.8,30,Stable
8,84,0,3.96,0,0,0,0,50,3,0,125,50,4.204916,0,2,8.8,58,Hot
8,25,0,4,0,0,0,0,50,3,0,43,50,4.123943,0,1,8.8,29,Stable
11,22,1,3.97,0,0,0,0,50,2,0,30,50,4.330745,0,1,12.1,4,Stable
3.66,4,0,3.19,0,0,0,0,2,1,0,45,50,3.867547,0,2,4.026,24,Stable
1.68,2,1,3.67,0,0,0,0,1,1,0,40,50,3.956065,0,8,1.848,60,Slow
13,11,0,2.5,0,0,0,0,36,3,0,29,50,3.774194,0,8,14.3,60,Slow
